accession	species	gene_id	chrom	start	end	len_bp	strand	class	tier	status	len_aa	model
hmaj_V2R097	hmaj	LOC_00010019	ch2	11497901	11538626	40725	neg	intact	T2	functional	847	eviann
hmaj_V2R098	hmaj	LOC_00010020	ch2	11716522	11727829	11307	neg	intact	T2	functional	869	eviann
hmaj_V2R099	hmaj	LOC_00010021	ch2	11893186	11903842	10656	pos	intact	T2	functional	849	eviann
hmaj_V2R100	hmaj	LOC_00010022	ch2	11907877	11924971	17094	pos	intact	T2	functional	849	miniprot
hmaj_V2R101	hmaj	LOC_00010023	ch2	11928451	11950061	21610	pos	intact	T2	functional	849	miniprot
hmaj_V2R102	hmaj	LOC_00010024	ch2	11959721	11964756	5035	pos	intact	T2	functional	849	miniprot
hmaj_V2R103	hmaj	LOC_00010026	ch2	12107785	12118665	10880	pos	intact	T2	functional	849	eviann
hmaj_V2R104	hmaj	LOC_00010027	ch2	12154555	12170486	15931	pos	intact	T2	functional	849	eviann
hmaj_V2R105	hmaj	LOC_00010028	ch2	12268366	12308532	40166	pos	intact	T2	functional	847	eviann
hmaj_V2R106	hmaj	LOC_00010032	ch2	12678277	12688983	10706	neg	intact	T2	functional	849	miniprot
hmaj_V2R107	hmaj	LOC_00010033	ch2	12744500	12757233	12733	pos	intact	T2	pseudogene	878	miniprot
hmaj_V2R108	hmaj	LOC_00010035	ch2	12943956	12964522	20566	neg	intact	T2	functional	845	miniprot
hmaj_V2R109	hmaj	LOC_00010036	ch2	12991438	13011779	20341	pos	intact	T2	functional	851	eviann
hmaj_V2R110	hmaj	LOC_00010037	ch2	13043735	13064302	20567	pos	intact	T2	functional	845	miniprot
hmaj_V2R111	hmaj	LOC_00010038	ch2	13194540	13197223	2683	neg	fragmented	T2	partial	240	orf
hmaj_V2R112	hmaj	LOC_00010039	ch2	13390596	13393991	3395	pos	fragmented	T2	partial	371	eviann
hmaj_V2R113	hmaj	LOC_00010040	ch2	13397471	13414742	17271	pos	intact	T2	functional	849	miniprot
hmaj_V2R114	hmaj	LOC_00010041	ch2	13421191	13437692	16501	pos	intact	T2	functional	849	miniprot
hmaj_V2R115	hmaj	LOC_00010042	ch2	13441172	13463383	22211	pos	intact	T2	functional	848	miniprot
hmaj_V2R116	hmaj	LOC_00010043	ch2	13549094	13559727	10633	pos	intact	T2	functional	849	miniprot
hmaj_V2R117	hmaj	LOC_00010077	ch2	14294744	14295653	909	pos	fragmented	T2	partial	357	orf
hmaj_V2R118	hmaj	LOC_00010098	ch2	15057386	15093464	36078	neg	intact	T2	functional	850	eviann
hmaj_V2R119	hmaj	LOC_00010102	ch2	15256750	15273919	17169	pos	intact	T2	pseudogene	878	miniprot
hmaj_V2R120	hmaj	LOC_00010134	ch2	16026501	16031564	5063	pos	intact	T2	functional	849	miniprot
hmaj_V2R121	hmaj	LOC_00010136	ch2	16224070	16225015	945	neg	fragmented	T2	partial	314	eviann
hmaj_V2R122	hmaj	LOC_00010137	ch2	16331337	16348434	17097	pos	intact	T2	pseudogene	879	miniprot
hmaj_V2R123	hmaj	LOC_00010138	ch2	16443689	16480411	36722	neg	intact	T2	functional	850	miniprot
hmaj_V2R124	hmaj	LOC_00010141	ch2	16840136	16850341	10205	neg	fragmented	T2	partial	529	eviann
hmaj_V2R125	hmaj	LOC_00010142	ch2	17206606	17234874	28268	neg	intact	T2	functional	850	miniprot
hmaj_V2R126	hmaj	LOC_00010147	ch2	17543781	17569977	26196	pos	intact	T2	functional	849	eviann
hmaj_V2R127	hmaj	LOC_00010148	ch2	17618560	17632910	14350	neg	intact	T2	functional	725	eviann
hmaj_V2R128	hmaj	LOC_00010167	ch2	18203704	18222783	19079	neg	intact	T2	functional	850	miniprot
hmaj_V2R129	hmaj	LOC_00010168	ch2	18430236	18454776	24540	neg	intact	T2	functional	850	miniprot
hmaj_V2R130	hmaj	LOC_00010169	ch2	18469096	18487756	18660	neg	intact	T2	functional	850	miniprot
hmaj_V2R131	hmaj	LOC_00010170	ch2	18505329	18525730	20401	pos	intact	T2	functional	843	miniprot
hmaj_V2R132	hmaj	LOC_00010171	ch2	18565417	18577800	12383	neg	intact	T2	functional	851	eviann
hmaj_V2R133	hmaj	LOC_00010203	ch2	19369899	19390036	20137	pos	intact	T2	functional	848	miniprot
hmaj_V2R134	hmaj	LOC_00010204	ch2	19580286	19581195	909	neg	fragmented	T2	partial	330	orf
hmaj_V2R135	hmaj	LOC_00010207	ch2	20376315	20396466	20151	pos	intact	T2	pseudogene	848	miniprot
hmaj_V2R136	hmaj	LOC_00010222	ch2	22019300	22037959	18659	neg	intact	T2	pseudogene	869	miniprot
hmaj_V2R137	hmaj	LOC_00010223	ch2	22104499	22124181	19682	neg	intact	T2	pseudogene	873	miniprot
hmaj_V2R138	hmaj	LOC_00010226	ch2	22324687	22337701	13014	neg	intact	T2	pseudogene	865	eviann
hmaj_V2R139	hmaj	LOC_00010230	ch2	22385234	22412598	27364	pos	intact	T2	pseudogene	873	eviann
hmaj_V2R140	hmaj	LOC_00010272	ch2	24685060	24692032	6972	pos	intact	T2	pseudogene	853	eviann
hmaj_V2R141	hmaj	LOC_00010273	ch2	24800007	24806970	6963	pos	intact	T2	pseudogene	853	eviann
hmaj_V2R142	hmaj	LOC_00010274	ch2	24879331	24880234	903	pos	fragmented	T2	partial	300	orf
hmaj_V2R143	hmaj	LOC_00010275	ch2	24924489	24978573	54084	neg	intact	T2	pseudogene	856	eviann
hmaj_V2R144	hmaj	LOC_00010276	ch2	25050336	25052971	2635	pos	fragmented	T2	partial	207	eviann
hmaj_V2R145	hmaj	LOC_00010277	ch2	25087390	25115974	28584	neg	intact	T2	pseudogene	860	miniprot
hmaj_V2R146	hmaj	LOC_00010283	ch2	25514138	25514936	798	pos	fragmented	T2	partial	265	eviann
hmaj_V2R147	hmaj	LOC_00010285	ch2	25778590	25791565	12975	pos	fragmented	T2	partial	183	eviann
hmaj_V2R148	hmaj	LOC_00010294	ch2	28722910	28723708	798	pos	intact	T2	pseudogene	859	miniprot
hmaj_V2R149	hmaj	LOC_00010296	ch2	28997564	29002934	5370	neg	fragmented	T2	partial	158	eviann
hmaj_V2R150	hmaj	LOC_00010297	ch2	29369779	29370499	720	neg	fragmented	T2	partial	239	orf
hmaj_V2R151	hmaj	LOC_00010339	ch2	31908950	31912554	3604	neg	fragmented	T2	partial	302	orf
hmaj_V2R152	hmaj	LOC_00010352	ch2	32410954	32414847	3893	neg	fragmented	T2	partial	325	eviann
hmaj_V2R153	hmaj	LOC_00010354	ch2	32686187	32713340	27153	neg	intact	T2	functional	848	miniprot
hmaj_V2R154	hmaj	LOC_00010356	ch2	32967678	33074181	106503	neg	intact	T2	pseudogene	851	miniprot
hmaj_V2R155	hmaj	LOC_00010357	ch2	32987055	33470740	483685	neg	intact	T2	pseudogene	851	miniprot
hmaj_V2R156	hmaj	LOC_00010358	ch2	33079001	33082880	3879	neg	intact	T2	pseudogene	851	miniprot
hmaj_V2R157	hmaj	LOC_00010359	ch2	33297602	33311864	14262	neg	intact	T2	pseudogene	851	miniprot
hmaj_V2R158	hmaj	LOC_00010360	ch2	33410587	33411127	540	neg	intact	T2	pseudogene	851	miniprot
hmaj_V2R159	hmaj	LOC_00010362	ch2	34178102	34200420	22318	neg	intact	T2	pseudogene	851	miniprot
hmaj_V2R160	hmaj	LOC_00010364	ch2	34364884	34387105	22221	neg	intact	T2	functional	850	eviann
hmaj_V2R161	hmaj	LOC_00010371	ch2	34646152	34652306	6154	neg	partial	T2	pseudogene	623	eviann
hmaj_V2R162	hmaj	LOC_00010372	ch2	34664842	34671005	6163	neg	partial	T2	pseudogene	623	eviann
hmaj_V2R163	hmaj	LOC_00010373	ch2	34704181	34710346	6165	neg	partial	T2	pseudogene	623	eviann
hmaj_V2R164	hmaj	LOC_00010375	ch2	34760093	34766274	6181	neg	partial	T2	pseudogene	623	eviann
hmaj_V2R165	hmaj	LOC_00010376	ch2	34778800	34784925	6125	neg	partial	T2	pseudogene	623	eviann
hmaj_V2R166	hmaj	LOC_00010377	ch2	34800269	34807414	7145	neg	partial	T2	pseudogene	426	eviann
hmaj_V2R167	hmaj	LOC_00010378	ch2	34899144	34906256	7112	neg	fragmented	T2	partial	426	eviann
hmaj_V2R168	hmaj	LOC_00010381	ch2	35076951	35097048	20097	neg	intact	T2	pseudogene	850	miniprot
hmaj_V2R169	hmaj	LOC_00010382	ch2	35173846	35180126	6280	neg	fragmented	T2	partial	308	eviann
hmaj_V2R170	hmaj	LOC_00010384	ch2	35358627	35381030	22403	neg	intact	T2	functional	848	eviann
hmaj_V2R171	hmaj	LOC_00010385	ch2	35697377	35719833	22456	neg	intact	T2	functional	848	eviann
hmaj_V2R172	hmaj	LOC_00010386	ch2	35856051	35861621	5570	neg	intact	T2	functional	742	miniprot
hmaj_V2R173	hmaj	LOC_00010387	ch2	35917078	35928318	11240	pos	intact	T2	pseudogene	856	eviann
hmaj_V2R174	hmaj	LOC_00010388	ch2	35990730	36002889	12159	pos	fragmented	T2	partial	445	eviann
hmaj_V2R175	hmaj	LOC_00010389	ch2	36019711	36023779	4068	neg	fragmented	T2	pseudogene	847	miniprot
hmaj_V2R176	hmaj	LOC_00010457	ch2	37315675	37316578	903	neg	intact	T2	functional	761	miniprot
hmaj_V2R177	hmaj	LOC_00010487	ch2	38695928	38712338	16410	neg	intact	T2	functional	849	eviann
hmaj_V2R178	hmaj	LOC_00010490	ch2	38931409	38945406	13997	pos	intact	T2	functional	688	eviann
hmaj_V2R179	hmaj	LOC_00010491	ch2	38980841	38999639	18798	pos	fragmented	T2	partial	302	eviann
hmaj_V2R180	hmaj	LOC_00010493	ch2	39542355	39552339	9984	pos	intact	T2	functional	773	eviann
hmaj_V2R181	hmaj	LOC_00010494	ch2	39690778	39705543	14765	neg	intact	T2	functional	848	miniprot
hmaj_V2R182	hmaj	LOC_00010495	ch2	39837246	39847206	9960	pos	intact	T2	functional	773	eviann
hmaj_V2R183	hmaj	LOC_00010496	ch2	40243685	40258419	14734	neg	intact	T2	functional	848	miniprot
hmaj_V2R184	hmaj	LOC_00010497	ch2	40265767	40275760	9993	pos	intact	T2	functional	773	eviann
hmaj_V2R185	hmaj	LOC_00010500	ch2	40626508	40642888	16380	neg	intact	T2	functional	849	eviann
hmaj_V2R186	hmaj	LOC_00010502	ch2	41133621	41143612	9991	pos	intact	T2	functional	773	eviann
hmaj_V2R187	hmaj	LOC_00010503	ch2	41263709	41278466	14757	neg	intact	T2	functional	848	miniprot
hmaj_V2R188	hmaj	LOC_00010505	ch2	41573975	41582620	8645	neg	intact	T2	functional	849	eviann
hmaj_V2R189	hmaj	LOC_00010506	ch2	41630928	41640925	9997	pos	intact	T2	functional	773	eviann
hmaj_V2R190	hmaj	LOC_00010527	ch2	42569182	42579168	9986	pos	intact	T2	functional	773	eviann
hmaj_V2R191	hmaj	LOC_00010529	ch2	42893996	42896577	2581	pos	fragmented	T2	partial	310	eviann
hmaj_V2R192	hmaj	LOC_00010531	ch2	43082897	43094076	11179	pos	partial	T2	partial	620	eviann
hmaj_V2R193	hmaj	LOC_00010582	ch2	44475847	44504171	28324	neg	intact	T2	functional	851	miniprot
hmaj_V2R194	hmaj	LOC_00010583	ch2	44549609	44569890	20281	pos	intact	T2	functional	833	eviann
hmaj_V2R195	hmaj	LOC_00010654	ch2	46441353	46453640	12287	neg	intact	T2	functional	773	eviann
hmaj_V2R196	hmaj	LOC_00010655	ch2	46542261	46569240	26979	pos	intact	T2	functional	848	eviann
hmaj_V2R197	hmaj	LOC_00010657	ch2	46714396	46722423	8027	pos	intact	T2	pseudogene	851	miniprot
hmaj_V2R198	hmaj	LOC_00010658	ch2	46725297	46744493	19196	pos	intact	T2	pseudogene	851	miniprot
hmaj_V2R199	hmaj	LOC_00010693	ch2	48066139	48084904	18765	pos	intact	T2	functional	751	eviann
hmaj_V2R200	hmaj	LOC_00010694	ch2	48113605	48122614	9009	pos	fragmented	T2	partial	306	eviann
hmaj_V2R201	hmaj	LOC_00010707	ch2	48602237	48603182	945	neg	fragmented	T2	partial	314	eviann
hmaj_V2R202	hmaj	LOC_00010708	ch2	48652094	48653039	945	neg	fragmented	T2	partial	314	eviann
hmaj_V2R203	hmaj	LOC_00010709	ch2	48692191	48718787	26596	neg	intact	T2	functional	853	eviann
hmaj_V2R204	hmaj	LOC_00010814	ch2	51691352	51708453	17101	neg	intact	T2	pseudogene	844	eviann
hmaj_V2R205	hmaj	LOC_00010815	ch2	51857592	51874662	17070	neg	intact	T2	functional	844	eviann
hmaj_V2R206	hmaj	LOC_00010816	ch2	51919008	51961360	42352	pos	intact	T2	functional	824	miniprot
hmaj_V2R207	hmaj	LOC_00010817	ch2	52019144	52019441	297	pos	NA	NA	partial	98	NA
hmaj_V2R208	hmaj	LOC_00010818	ch2	52059908	52072313	12405	neg	intact	T2	functional	844	eviann
hmaj_V2R209	hmaj	LOC_00010844	ch2	52568365	52578811	10446	pos	intact	T2	pseudogene	859	miniprot
hmaj_V2R210	hmaj	LOC_00010845	ch2	52687686	52708821	21135	pos	intact	T2	pseudogene	870	eviann
hmaj_V2R211	hmaj	LOC_00010890	ch2	54951577	54963268	11691	pos	intact	T2	functional	844	eviann
hmaj_V2R212	hmaj	LOC_00010893	ch2	55232363	55439301	206938	pos	intact	T2	pseudogene	849	eviann
hmaj_V2R213	hmaj	LOC_00010894	ch2	55353151	56039402	686251	neg	intact	T2	pseudogene	554	eviann
hmaj_V2R214	hmaj	LOC_00010898	ch2	55610729	55626977	16248	pos	intact	T2	pseudogene	860	eviann
hmaj_V2R215	hmaj	LOC_00010899	ch2	55723107	55732949	9842	pos	intact	T2	pseudogene	863	eviann
hmaj_V2R216	hmaj	LOC_00010901	ch2	55849411	55859865	10454	pos	intact	T2	pseudogene	863	eviann
hmaj_V2R217	hmaj	LOC_00010906	ch2	56374317	56394514	20197	pos	intact	T2	pseudogene	870	miniprot
hmaj_V2R218	hmaj	LOC_00010907	ch2	56634065	56637776	3711	pos	intact	T2	functional	865	miniprot
hmaj_V2R219	hmaj	LOC_00010908	ch2	56796509	56797004	495	pos	fragmented	T2	partial	313	orf
hmaj_V2R220	hmaj	LOC_00010909	ch2	57110424	57119556	9132	pos	intact	T2	functional	851	miniprot
hmaj_V2R221	hmaj	LOC_00010911	ch2	57288960	57343738	54778	neg	intact	T2	functional	828	eviann
hmaj_V2R222	hmaj	LOC_00010913	ch2	58269563	58274206	4643	pos	fragmented	T2	partial	393	eviann
hmaj_V2R223	hmaj	LOC_00010914	ch2	58354878	58382930	28052	neg	intact	T2	functional	863	eviann
hmaj_V2R224	hmaj	LOC_00010915	ch2	58425156	58432836	7680	pos	intact	T2	functional	860	eviann
hmaj_V2R225	hmaj	LOC_00010916	ch2	58512740	58532876	20136	neg	intact	T2	functional	856	eviann
hmaj_V2R226	hmaj	LOC_00010917	ch2	58656267	58672024	15757	neg	intact	T2	functional	863	eviann
hmaj_V2R227	hmaj	LOC_00010969	ch2	62218826	62233657	14831	neg	intact	T2	functional	863	miniprot
hmaj_V2R228	hmaj	LOC_00012848	ch2	241720297	241722885	2588	neg	fragmented	T2	partial	109	eviann
hmaj_V2R229	hmaj	LOC_00012850	ch2	242003253	242006365	3112	pos	fragmented	T2	partial	357	eviann
hmaj_V2R230	hmaj	LOC_00012851	ch2	242130888	242133271	2383	pos	fragmented	T2	partial	389	miniprot
hmaj_V2R231	hmaj	LOC_00012853	ch2	242838361	242841582	3221	neg	fragmented	T2	partial	350	eviann
hmaj_V2R232	hmaj	LOC_00000003	ch3	321404	325359	3955	pos	fragmented	T2	partial	176	eviann
hmaj_V2R233	hmaj	LOC_00000004	ch3	412780	493980	81200	pos	fragmented	T2	partial	357	eviann
hmaj_V2R234	hmaj	LOC_00000005	ch3	603133	626968	23835	neg	intact	T2	functional	850	eviann
hmaj_V2R235	hmaj	LOC_00000007	ch3	1361179	1369220	8041	pos	fragmented	T2	partial	155	eviann
hmaj_V2R236	hmaj	LOC_00013892	ch4	4350237	4399466	49229	neg	fragmented	T2	partial	460	eviann
hmaj_V2R237	hmaj	LOC_00017102	ch4	132897513	132900370	2857	pos	fragmented	T2	partial	355	eviann
hmaj_V2R238	hmaj	LOC_00017104	ch4	132968533	132974995	6462	pos	fragmented	T2	partial	355	eviann
hmaj_V2R239	hmaj	LOC_00017106	ch4	133036487	133041865	5378	pos	fragmented	T2	partial	355	eviann
hmaj_V2R240	hmaj	LOC_00017109	ch4	133134282	133139585	5303	pos	fragmented	T2	partial	355	eviann
hmaj_V2R241	hmaj	LOC_00017112	ch4	133441167	133451620	10453	pos	fragmented	T2	partial	258	eviann
hmaj_V2R242	hmaj	LOC_00017113	ch4	133527120	133535228	8108	pos	fragmented	T2	partial	242	eviann
